Part_No,Description,Category,Vendor_No,Available,On_Hand,Current_Cost,Volume_(inch^3),Length_(UDF),Width_(UDF),Height_(UDF),Weight_(UDF),Product_Code,Pallet_Quantity_(Incoming_Max)_(UDF),Pallet_Length_(inches)_(UDF),Pallet_Width_(inches)_(UDF)
FPRPreEnt72CH,Prestige Wiper/Scraper 48x72 Char.,Entrance Mat,MANU123,2,2,52.5441,11250,50,15,15,27,MATS,30,62,50
M124Pol45ER,46'x53' Rectangle,Polycarbonate Chair Mat,MANU123,2,2,129.1358,1372,56,49,0.5,23,MATS,50,62,48
M124Pol25ER,46'x60' Rectangle,Polycarbonate Chair Mat,MANU123,2,2,156.11,1550,0,0,0,25,MATS,50,62,50
M124Pol95ER,47'x35' Rectangle,Polycarbonate Chair Mat,MANU123,2,2,99.1466,925,50,37,0.5,9,MATS,50,62,48
FCOCoAnt36BK,Comfort Mat 24x36 Black,Anti-Fatigue Mat,MANU456,1,1,21,936,26,6,6,5,MATS,0,0,0
FICInAnt660B,Indust.Cushion 36x60 Black,Anti-Fatigue Mat,MANU456,0,0,96.5,1813,37,7,7,18,MATS,15,48,40
FICInAnt60BY,Indust.Cushion 36x60 BK/YW,Anti-Fatigue Mat,MANU456,1,1,96.5,1813,37,7,7,18,MATS,15,48,40
FLIPEnt436B,PFPVC Scraper 24x36 Black,Entrance Mat,MANU456,0,0,18.415,936,26,6,6,14,MATS,20,48,40
FLIPEnt648B,PFPVC Scraper 36x48 Black,Entrance Mat,MANU456,2,2,49.6,1862,38,7,7,14.5,MATS,15,52,48
FLIPEnt672B,PFPVC Scraper 36x72 Black,Entrance Mat,MANU456,13,13,53.5608,2165.625,38.5,7.5,7.5,22.3,MATS,15,52,48
FMTPrEnt432B,Premium Brush Mat 24x32 BK,Entrance Mat,MANU456,0,0,43.26,936,26,6,6,13,MATS,10,48,40
FMTPrEnt239B,Premium Brush Mat 32x39 BK,Entrance Mat,MANU456,1,1,66.16,1813,37,7,7,20,MATS,10,48,40
FMTPrEnt672B,Premium Brush Mat 36x72 BK,Entrance Mat,MANU456,1,1,108.19,1813,37,7,7,37,MATS,10,48,40
FNEWiEnt36CH,Wipe & Scrape 24x36 Char.,Entrance Mat,MANU456,1,1,23.65,936,26,6,6,5,MATS,15,48,40
FNEWiEnt60CH,Wipe & Scrape 36x60 Char.,Entrance Mat,MANU456,0,0,48.5,1911,37,7,7,11,MATS,15,48,40
FNEWiEnt72CH,Wipe & Scrape 48x72 Char.,Entrance Mat,MANU456,1,1,82.76,3264,51,8,8,18,MATS,10,52,48
